2026-05-26 08:12:16,517 | INFO | notification-service | starting notification consumer thread
2026-05-26 08:12:16,526 | INFO | pika.adapters.utils.connection_workflow | Pika version 1.3.2 connecting to ('::1', 5672, 0, 0)
2026-05-26 08:12:16,526 | INFO | pika.adapters.utils.io_services_utils | Socket connected: <socket.socket fd=1304, family=23, type=1, proto=6, laddr=('::1', 65129, 0, 0), raddr=('::1', 5672, 0, 0)>
2026-05-26 08:12:16,526 | INFO | pika.adapters.utils.connection_workflow | Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001DE3FB1EF90>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001DE3FB1EF90> params=<URLParameters host=localhost port=5672 virtual_host=/ ssl=False>>).
2026-05-26 08:12:17,460 | INFO | notification-service | starting notification consumer thread
2026-05-26 08:12:17,462 | INFO | pika.adapters.utils.connection_workflow | Pika version 1.3.2 connecting to ('::1', 5672, 0, 0)
2026-05-26 08:12:17,463 | INFO | pika.adapters.utils.io_services_utils | Socket connected: <socket.socket fd=1216, family=23, type=1, proto=6, laddr=('::1', 65140, 0, 0), raddr=('::1', 5672, 0, 0)>
2026-05-26 08:12:17,464 | INFO | pika.adapters.utils.connection_workflow | Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000002651156EC90>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000002651156EC90> params=<URLParameters host=localhost port=5672 virtual_host=/ ssl=False>>).
2026-05-26 08:12:17,522 | INFO | pika.adapters.utils.connection_workflow | AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000002651156EC90> params=<URLParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-05-26 08:12:17,522 | INFO | pika.adapters.utils.connection_workflow | AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000002651156EC90> params=<URLParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-05-26 08:12:17,522 | INFO | pika.adapters.blocking_connection | Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000002651156EC90> params=<URLParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-05-26 08:12:17,523 | INFO | pika.adapters.blocking_connection | Created channel=1
2026-05-26 08:12:17,527 | INFO | app.messaging | notification-service consumer started and waiting for messages
2026-05-26 08:15:20,033 | INFO | app.messaging | processed order.created event for order_id=6 request_id=411f71e4-42ae-4601-b612-24cb73e3ea91
2026-05-26 08:15:58,275 | INFO | notification-service.http | request | request_id=- | method=GET | path=/notifications | status_code=200 | elapsed_ms=7.80
